"","Month_Yr","Charity","Clothing","Debts","Food","Housing","Insurance","Medical / Health","Personal","Recreational","Saving","Transportation","Utilities"
"1","2016-07",NA,NA,NA,39.37,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-08",NA,NA,13.11,455.32,1134.73,151.21,19,194.95,NA,NA,346.73,127.29
"3","2016-09",NA,47.01,262.47,364.26,1146.58,801.01,111.72,150.44,20.08,NA,195.32,270.15
"4","2016-10",NA,43.36,262.47,491.97,1027,151.21,NA,198.12,937.25,NA,126.72,270.75
"5","2016-11",NA,278.02,2477.57,549.93,1355.23,151.21,110.23,254.42,41.69,NA,90.45,196.35
"6","2016-12",NA,21.94,262.47,237.97,915.05,151.21,48.73,425.19,191.73,NA,155.55,257.27
"7","2017-01",NA,72.29,2015.47,645.39,1737.53,189.6,219.99,306.49,830.12,1247.13,224.27,186.56
"8","2017-02",5,74.6,865.03,432.46,895.36,NA,43,462.32,-166.77,207.01,161.63,156.7
"9","2017-03",NA,65.01,NA,448.56,877,366.53,468.17,234.55,71.18,2227.99,157.19,323.19
"10","2017-04",NA,4.35,NA,405.38,877,NA,4.72,615.98,857.93,300,123.12,208.64
"11","2017-05",NA,49.84,NA,643.77,877,NA,60,362.6,342,252,260.27,316.55
"12","2017-06",NA,234.15,NA,442.92,1037,NA,9.64,577.8,-93.36,NA,176.07,264.7
"13","2017-07",NA,38.07,NA,741.7,722.23,948,NA,445.59,85.15,5,103.9,209
"14","2017-08",NA,0.86,NA,397.5,886,508.6,NA,861.22,269.73,3607.51,338.45,325.88
"15","2017-09",NA,NA,NA,851.19,886,NA,83.98,192.93,358.18,-101.25,111.41,199.88
"16","2017-10",5,6,NA,445.83,886,NA,26.48,337.44,214.85,NA,92.73,191.49
"17","2017-11",NA,NA,NA,614.42,NA,NA,6.48,1462.66,172.72,NA,101.49,176.89
"18","2017-12",20,101.7,NA,832.79,886,NA,7,549.23,72.93,NA,142.82,344.91
"19","2018-01",NA,NA,1050,991.44,886,NA,6.48,542.78,133.95,3932,122.3,190.81
"20","2018-02",38,268.81,2000,691.21,886,529.7,10,374.3,87.49,-94.32,431.31,219.24
"21","2018-03",NA,176.98,1051.32,784.22,886,NA,3,901.62,126.39,NA,186.94,370.28
"22","2018-04",NA,57.36,1074.31,761.48,886,NA,54.53,693.08,784.09,101,138.3,187.76
"23","2018-05",5,112.5,500,1171.87,886,NA,89.24,503.15,393.75,119.06,214.79,170.72
"24","2018-06",NA,27.29,500,718.6,886,NA,NA,822.5,234.57,NA,128.66,192.81
